               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035814,            0.043303,           0.0068172,             0.91774,             0.84979,             0.91734,             0.68002,            0.031218,            0.023437,            0.002754,             0.00307,             0.00307,             0.00307
                  37,            0.035622,            0.042504,           0.0070177,             0.91741,              0.8317,             0.90813,             0.67916,             0.03068,            0.023319,           0.0027156,            0.002872,            0.002872,            0.002872
                  38,             0.03594,            0.042765,           0.0062297,             0.91924,             0.84054,             0.91028,             0.67296,            0.030691,            0.023312,           0.0026944,            0.002674,            0.002674,            0.002674
                  39,            0.033224,            0.038521,           0.0054779,             0.89257,             0.85373,             0.91809,             0.69005,            0.030049,            0.023084,           0.0026418,            0.002476,            0.002476,            0.002476
                  40,            0.034525,            0.043436,           0.0069181,             0.89776,             0.85999,             0.91865,             0.69271,             0.02985,            0.022786,           0.0025777,            0.002278,            0.002278,            0.002278
                  41,            0.033887,            0.044064,           0.0061684,             0.89733,             0.86862,             0.92598,             0.70141,            0.029337,             0.02272,           0.0025479,             0.00208,             0.00208,             0.00208
                  42,            0.033337,            0.041617,           0.0058892,             0.90182,             0.86838,             0.92782,             0.70185,            0.029147,            0.022478,           0.0025072,            0.001882,            0.001882,            0.001882
                  43,            0.034904,             0.04773,           0.0062227,             0.90374,             0.86942,             0.92835,             0.69831,            0.029455,             0.02247,           0.0024676,            0.001684,            0.001684,            0.001684
                  44,            0.033001,            0.044067,           0.0059282,             0.90567,              0.8667,             0.92805,             0.70178,            0.028678,            0.022066,           0.0024494,            0.001486,            0.001486,            0.001486
                  45,            0.033164,            0.041496,           0.0053962,             0.90938,             0.86901,             0.93042,             0.70562,             0.02842,            0.021809,           0.0024335,            0.001288,            0.001288,            0.001288
                  46,            0.032406,            0.042929,           0.0059806,             0.91323,             0.86744,             0.93158,              0.7072,            0.028287,            0.021693,           0.0024148,             0.00109,             0.00109,             0.00109
                  47,            0.033725,            0.039477,           0.0065778,             0.91164,             0.86682,             0.93206,             0.71038,            0.028079,            0.021614,           0.0023945,            0.000892,            0.000892,            0.000892
                  48,            0.031251,            0.038241,           0.0063713,             0.91677,             0.86369,             0.93135,             0.71858,            0.027955,            0.021582,            0.002385,            0.000694,            0.000694,            0.000694
                  49,            0.032237,            0.037872,           0.0059016,             0.91955,             0.85957,             0.93243,             0.72157,            0.027842,            0.021577,           0.0023788,            0.000496,            0.000496,            0.000496
